id,manuscript_id,work_id,chapter,section,subsection,extract,page,settlement,repository,shelfmark,locus,provenance,dating,refs,rawtext,notes
1,1,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,20,ADMONT,Stiftsbibliothek,246,,,s. xii,"ZBW, Beiheft 4, 503 and 519. Omitted in my edition.","p. 20 [=CAc]: ADMONT, Stiftsbibliothek, 246. s. xii. ZBW, Beiheft 4, 503 and 519. Omitted in my edition.",
2,2,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,20,ALTENBURG,Stiftsbibliothek,205,fols. 193-244,,c. 1200,"See Laistner, xvii, note 2.","p. 20 [=CAc]: ALTENBURG, Stiftsbibliothek, 205, fols. 193-244. c. 1200. See Laistner, xvii, note 2.",
3,3,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,20,ARRAS,Bibliothèque publique,672,,St Vaast,s. ix,,"p. 20 [=CAc]: ARRAS, Bibliothèque publique, 672. s. ix, St Vaast.",
4,4,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,20,BAMBERG,Staatsbibliothek,B V 1,,Chapter library,s. xi,"Friedrich Leitschuh, Kat. der HSS der kgl. Bibliothek zu Bamberg I, 103.","p. 20 [=CAc]: BAMBERG, Staatsbibliothek, B V 1. s. xi, Chapter library. Friedrich Leitschuh, Kat. der HSS der kgl. Bibliothek zu Bamberg I, 103.",
5,5,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,20,BERLIN,Staatsbibliothek Preußischer Kulturbesitz,45 (Phillipps 1665),,Montdieu,s. xii-xiii,"Rose, I, 65.","p. 20 [=CAc]: BERLIN, Staatsbibliothek Preußischer Kulturbesitz, 45 (Phillipps 1665). s. xii-xiii, Montdieu. Rose, I, 65.",
6,6,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,20,BERLIN,Staatsbibliothek Preußischer Kulturbesitz,93 (Phillipps 1664),,Limoges,s. xi,"Rose I, 197.","p. 20 [=CAc]: BERLIN, Staatsbibliothek Preußischer Kulturbesitz, 93 (Phillipps 1664). s. xi, Limoges. Rose I, 197.",
7,7,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,20,BERLIN,Staatsbibliothek Preußischer Kulturbesitz,336,,Werden,s. x,"Rose II, 128.","p. 20 [=CAc]: BERLIN, Staatsbibliothek Preußischer Kulturbesitz, 336. s. x, Werden. Rose II, 128.",
8,8,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,20,BRUGES,Bibliothèque publique,77,,Ste Marie de Thosan,s. xiii,"A. De Poorter, Cat. des MSS de la bibl. publ. de la ville de Bruges, 92.","p. 20 [=CAc]: BRUGES, Bibliothèque publique, 77. s. xiii, Ste Marie de Thosan. A. De Poorter, Cat. des MSS de la bibl. publ. de la ville de Bruges, 92.",
9,9,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,20,BRUSSELS,Bibliothèque royale,1356,,Gembloux,s. xi,,"p. 20 [=CAc]: BRUSSELS, Bibliothèque royale, 1356. s. xi, Gembloux.",
10,10,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,20,BRUSSELS,Bibliothèque royale,1362 (Phillipps 2068),,Tournai,s. xii,,"p. 20 [=CAc]: BRUSSELS, Bibliothèque royale, 1362 (Phillipps 2068). s. xii, Tournai.",
11,11,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,BURY ST EDMUNDS,Cathedral church of St James,s.n.,,Syon,s. xiv,,"p. 21 [=CAc]: BURY ST EDMUNDS, Cathedral church of St James, s.n.. s. xiv, Syon.",
12,12,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,CHARLEVILLE,Bibliothèque publique,164,,Signy,s. xii,,"p. 21 [=CAc]: CHARLEVILLE, Bibliothèque publique, 164. s. xii, Signy.",
13,13,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,COPENHAGEN,Kongelige Bibliothek,S 1854,,English,s. xii,,"p. 21 [=CAc]: COPENHAGEN, Kongelige Bibliothek, S 1854. s. xii, English.",
14,14,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,DIJON,Bibliothèque publique,78,,St Bénigne,s. x,,"p. 21 [=CAc]: DIJON, Bibliothèque publique, 78. s. x, St Bénigne.",
15,15,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,DOUAI,Bibliothèque publique,334,,Anchin,s. xii,,"p. 21 [=CAc]: DOUAI, Bibliothèque publique, 334. s. xii, Anchin.",
16,16,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,EINSIEDELN,Klosterbibliothek,174,,,s. x,,"p. 21 [=CAc]: EINSIEDELN, Klosterbibliothek, 174. s. x.",
17,17,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,ERFURT,Öffentliche Bibliothek,Q 92,,Wijssen,s. xv1,"W. Schum, Beschreibendes Verzeichnis der amplonianischen HSSsammlung zu Erfurt. 352.","p. 21 [=CAc]: ERFURT, Öffentliche Bibliothek, Q 92. s. xv1, Wijssen. W. Schum, Beschreibendes Verzeichnis der amplonianischen HSSsammlung zu Erfurt. 352.",
18,18,1,Biblical Commentaries,Commentary on Acts,Manuscripts of the Commentary,,21,ERLANGEN,Universitätsbibliothek,Perg. 74,,,s. xii,,"p. 21 [=CAc]: ERLANGEN, Universitätsbibliothek, Perg. 74. s. xii.",
