id,work,text_type,excluded?,repo_id,shelfmark,notes,citation,support,length,numbered_by,,,blank,binding,fragment?,,,dating,cent_begin,cent_end,year_begin,year_end,origin_country,origin_place,provenance,intials,timestamp,,,lk_entry,sm_alpha_part,sm_num_part,sm_suffix,sm_joined,lk_pages,references,locale_opinions
1,Exp.Act.apost.,,False,1,246,,"Admont, Stiftsbibliothek, 246",parchment,37,,,41,,,,12,55,s. xii,12,12,1101,1200,,,,JW,7/20/2012 12:10:49,2,0,"Admont, Stiftsbibliothek, 246 (s. xii).",,246,,246,"20, 26",,
2,Exp.Act.apost.,,1,6,AB 14 D 15 (olim 205),,"Altenburg, Stiftsbibliothek, AB 14 D 15 (olim 205)",parchment,135,pages,,35,,,,1213,63,s. xii2,12,12,1151,1200,,,,,7/19/2012 12:55:54,5,0,"Altenburg, Stiftsbibliothek, AB 14 D 15 (olim 205) (s. xii2).",AB 14 D,15,(olim 205),AB 14 D 15 (olim 205),"20, 23, 26, 31, 78",,
3,Exp.Act.apost.,,,9,728 (olim 672),,"Arras, Bibliothèque municipale, 728 (olim 672)",parchment,i+122+i,folios,,27,,,,9,20,s. ix (in),9,9,801,825,France,Corbie,"Arras, Saint-Vaast",,7/20/2012 14:28:44,2,0,"Arras, Bibliothèque municipale, 728 (olim 672) (s. ixin, Corbie).",,728,(olim 672),728 (olim 672),"20, 26","Bischoff, Kat., no. 97. | Gryson, 5.","France; Corbie; Arras, Saint-Vaast; St Vaast; St Vaast"
4,Exp.Act.apost.,,,19,B. V. 1,,"Bamberg, Staatsbibliothek, B. V. 1",,,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 14:28:47,1,0,"Bamberg, Staatsbibliothek, B. V. 1 (s. xi).",B. V.,1,,B. V. 1,20,,Chapter library
5,Exp.Act.apost.,,,25,Phillipps 1665 (Rose 45),,"Berlin, Staatsbibliothek Preußischer Kulturbesitz, Phillipps 1665 (Rose 45)",,,,,,,,,1213,66,s. xii-xiii,12,13,1176,1225,,,,,7/20/2012 11:39:30,3,0,"Berlin, Staatsbibliothek Preußischer Kulturbesitz, Phillipps 1665 (Rose 45) (s. xii-xiii).",Phillipps,1665,(Rose 45),Phillipps 1665 (Rose 45),"20, 23, 31",,Montdieu; Montdieu; Montdieu
6,Exp.Act.apost.,,,25,Phillipps 1664 (Rose 93),,"Berlin, Staatsbibliothek Preußischer Kulturbesitz, Phillipps 1664 (Rose 93)",,,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 14:41:27,2,0,"Berlin, Staatsbibliothek Preußischer Kulturbesitz, Phillipps 1664 (Rose 93) (s. xi).",Phillipps,1664,(Rose 93),Phillipps 1664 (Rose 93),"20, 26",,Limoges; Limoges
7,Exp.Act.apost.,,,25,theol. fol. 361 (Rose 336),,"Berlin, Staatsbibliothek Preußischer Kulturbesitz, theol. fol. 361 (Rose 336)",,,,,,,,,10,31,s. x,10,10,901,1000,,,,,7/20/2012 14:41:20,2,0,"Berlin, Staatsbibliothek Preußischer Kulturbesitz, theol. fol. 361 (Rose 336) (s. x).",theol. fol.,361,(Rose 336),theol. fol. 361 (Rose 336),"20, 26",,Werden; Werden
8,Exp.Act.apost.,,False,34,Historisch Fonds 77,,"Bruges, Openbare bibliotheek, Historisch Fonds 77",,143,folios,2,36,,,,13,67,s. xiii,13,13,1201,1300,Belgium,Sainte-Marie de Thosan,,,7/20/2012 14:28:51,5,0,"Bruges, Openbare bibliotheek, Historisch Fonds 77 (s. xiii, Sainte-Marie de Thosan).",Historisch Fonds,77,,Historisch Fonds 77,"20, 23, 26, 31, 83","Gryson, 26-27. | Geyer 1975, 250.",Belgium; Sainte-Marie de Thosan; Ste Marie de Thosan; Ste Marie de Thosan; Ste Marie de Thosan; Ste Marie de Thosan; Ste Marie de Thosan
9,Exp.Act.apost.,,,35,5543-45 (VDG 1356),,"Brussels, Bibliothèque royale de Belgique, 5543-45 (VDG 1356)",,,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 14:29:52,3,0,"Brussels, Bibliothèque royale de Belgique, 5543-45 (VDG 1356) (s. xi).",,554345,(VDG 1356),5543-45 (VDG 1356),"20, 26, 51",,Gembloux; Gembloux; Gembloux
10,Exp.Act.apost.,,,35,1362 (Phillipps 2068),,"Brussels, Bibliothèque royale de Belgique, 1362 (Phillipps 2068)",,,,,,,,,12,66,s. xii-xiii,12,13,1176,1225,,,,,7/20/2012 14:28:52,3,0,"Brussels, Bibliothèque royale de Belgique, 1362 (Phillipps 2068) (s. xii-xiii).",,1362,(Phillipps 2068),1362 (Phillipps 2068),"20, 23, 83",,Tournai; Tournai; Tournai
