"Bede","1","672/3","735","","","Bede"
"Anonymous","5","","","","","Anon"
"Ps.-Bede","4","","","","","PsBede"
"Jerome","27","","","","","Jer"
"Caesarius","30","","","","","Caes"
"Haimo of Halberstadt","40","","853","","Bishop of Halberstadt","Haimo"
"Remigius of Auxerre","38","c. 841","908","OSB","","Rem"
"Cuthbert of Jarrow","42","","","","","Cuthb"
"Pseudo-Orosius/Pseudo-Augustine","28","","","","","PsOr-PsAug"
"Isidore of Seville","15","","","","","Isid"
"Pseudo-Augustine and Pseudo-Jerome","29","","","","","PsAug-PsJer"
"Alcuin","3","","","","","Alc"
"Vigilius Thapsensis","31","","","","","Vigil"
"Pseudo-Methodius","32","","","","","PsMeth"
"Hrabanus Maurus","33","","","","","Hraban"
"William de Monte","41","","","","","WmMonte"
"Richard of Hexham","8","","1178","OSA","Prior of Hexham","RichHex"
"Bernard of Clairvaux","6","1090","1153","OCist","Abbot of Clairvaux","Bern"
"Æthelwulf","36","","","","","Athwlf"
"Ps.-Nennius","37","","","","","Nennius"
"Various","35","","","","","Var"
"Helperic","20","","","","","Help"
"Abbo of Fleury","22","","","","","AbboFl"
"Priscian","13","","","","","Prisc"
"Sedulius","17","","","","","Sedul"
"Arator","19","","","","","Arat"
"Augustine","18","","","","","Aug"
"Juvencus","11","","","","","Juvenc"
"Aldhelm","12","","709","","","Ald"
"Cassiodorus","21","","","","","Cassiod"
"Caper","23","","","","","Cap"
"Agroecius","24","","","","","Agro"
"Abbo of Saint-Germain","16","","","","","Abbo"
"Martianus Capella","25","","","","","MartCap"
"William of Malmesbury","34","","","","","WmMalm"
"Geoffrey of Monmouth","7","","","","","GeoffM"
"Boethius","14","","","","","Boeth"
"Audax","26","","","","","Aud"
"Johannes Diaconus","39","","","","Monk of Monte Cassino","JohDiac"
