"4151","1","1","20","ADMONT","Stiftsbibliothek","246","","Exp.Act.apost.","1","","s. xii","ZBW, Beiheft 4, 503 and 519. Omitted in my edition.","p. 20 [=CAc]: ADMONT, Stiftsbibliothek, 246. s. xii. ZBW, Beiheft 4, 503 and 519. Omitted in my edition."
"4152","2","2","20","ALTENBURG","Stiftsbibliothek","205","fols. 193-244","Commentary on Acts","1","","c. 1200","See Laistner, xvii, note 2.","p. 20 [=CAc]: ALTENBURG, Stiftsbibliothek, 205, fols. 193-244. c. 1200. See Laistner, xvii, note 2."
"4153","3","3","20","ARRAS","Bibliothèque publique","672","","Commentary on Acts","1","St Vaast","s. ix","","p. 20 [=CAc]: ARRAS, Bibliothèque publique, 672. s. ix, St Vaast. "
"4154","4","4","20","BAMBERG","Staatsbibliothek","B V 1","","Commentary on Acts","1","Chapter library","s. xi","Friedrich Leitschuh, Kat. der HSS der kgl. Bibliothek zu Bamberg I, 103.","p. 20 [=CAc]: BAMBERG, Staatsbibliothek, B V 1. s. xi, Chapter library. Friedrich Leitschuh, Kat. der HSS der kgl. Bibliothek zu Bamberg I, 103."
"4155","5","5","20","BERLIN","Staatsbibliothek Preußischer Kulturbesitz","45 (Phillipps 1665)","","Commentary on Acts","1","Montdieu","s. xii-xiii","Rose, I, 65.","p. 20 [=CAc]: BERLIN, Staatsbibliothek Preußischer Kulturbesitz, 45 (Phillipps 1665). s. xii-xiii, Montdieu. Rose, I, 65."
"4156","6","6","20","BERLIN","Staatsbibliothek Preußischer Kulturbesitz","93 (Phillipps 1664)","","Commentary on Acts","1","Limoges","s. xi","Rose I, 197.","p. 20 [=CAc]: BERLIN, Staatsbibliothek Preußischer Kulturbesitz, 93 (Phillipps 1664). s. xi, Limoges. Rose I, 197."
"4157","7","7","20","BERLIN","Staatsbibliothek Preußischer Kulturbesitz","336","","Commentary on Acts","1","Werden","s. x","Rose II, 128.","p. 20 [=CAc]: BERLIN, Staatsbibliothek Preußischer Kulturbesitz, 336. s. x, Werden. Rose II, 128."
"4158","8","8","20","BRUGES","Bibliothèque publique","77","","Commentary on Acts","1","Ste Marie de Thosan","s. xiii","A. De Poorter, Cat. des MSS de la bibl. publ. de la ville de Bruges, 92.","p. 20 [=CAc]: BRUGES, Bibliothèque publique, 77. s. xiii, Ste Marie de Thosan. A. De Poorter, Cat. des MSS de la bibl. publ. de la ville de Bruges, 92."
"4159","9","9","20","BRUSSELS","Bibliothèque royale","1356","","Commentary on Acts","1","Gembloux","s. xi","","p. 20 [=CAc]: BRUSSELS, Bibliothèque royale, 1356. s. xi, Gembloux. "
"4160","10","10","20","BRUSSELS","Bibliothèque royale","1362 (Phillipps 2068)","","Commentary on Acts","1","Tournai","s. xii","","p. 20 [=CAc]: BRUSSELS, Bibliothèque royale, 1362 (Phillipps 2068). s. xii, Tournai. "
